Timestamp,Light Level (Ohms),Distance (cm),Temperature (°C),Acc X (g),Acc Y (g),Acc Z (g),Completed Stage,Next Stage
00:00:07,854,198.70,26.72,-0.97,0.01,-0.06,,Parachute Deploy
00:00:09,859,198.25,26.72,-0.97,0.00,-0.05,,Parachute Deploy
00:00:11,859,199.11,26.72,-0.97,0.01,-0.07,,Parachute Deploy
00:00:12,858,199.01,26.67,-0.97,0.00,-0.07,,Parachute Deploy
00:00:13,856,196.95,26.67,-0.97,0.00,-0.06,,Parachute Deploy
00:00:15,856,197.40,26.67,-0.97,-0.00,-0.07,,Parachute Deploy
00:00:16,861,198.25,26.76,-0.97,0.00,-0.06,,Parachute Deploy
00:00:17,860,62.43,26.62,-0.97,0.00,-0.07,,Parachute Deploy
00:00:19,863,63.70,26.67,-0.97,0.00,-0.05,,Parachute Deploy
00:00:20,863,64.93,26.62,-0.97,0.00,-0.06,,Parachute Deploy
00:00:21,863,1190.86,26.62,-0.97,0.01,-0.06,Parachute Deploy,Heat Shield Separation
00:00:22,860,51.96,26.72,-0.97,0.00,-0.05,Parachute Deploy,Heat Shield Separation
00:00:24,858,48.91,26.72,-0.97,0.00,-0.06,Parachute Deploy,Heat Shield Separation
00:00:25,858,1190.62,26.67,-0.97,0.01,-0.06,Parachute Deploy,Heat Shield Separation
00:00:26,860,42.70,26.81,-0.97,0.00,-0.05,Parachute Deploy,Heat Shield Separation
00:00:28,858,37.70,26.76,-0.97,0.00,-0.06,Parachute Deploy,Heat Shield Separation
00:00:29,858,1190.86,26.72,-0.97,0.01,-0.06,Parachute Deploy,Heat Shield Separation
00:00:30,860,31.01,26.72,-0.96,0.01,-0.06,Parachute Deploy,Heat Shield Separation
00:00:32,862,30.32,26.67,-0.97,-0.00,-0.06,Parachute Deploy,Heat Shield Separation
00:00:33,860,27.99,26.76,-0.97,-0.00,-0.06,Parachute Deploy,Heat Shield Separation
00:00:34,860,24.59,26.72,-0.96,0.00,-0.07,Parachute Deploy,Heat Shield Separation
00:00:36,860,22.47,26.81,-0.97,-0.00,-0.08,Parachute Deploy,Heat Shield Separation
00:00:37,859,20.13,26.67,-0.98,0.01,-0.07,Parachute Deploy,Heat Shield Separation
00:00:38,860,18.42,26.76,-0.97,0.00,-0.06,Parachute Deploy,Heat Shield Separation
00:00:40,860,1190.90,26.72,-0.97,0.00,-0.07,Parachute Deploy,Heat Shield Separation
00:00:41,858,1190.90,26.72,-0.97,0.00,-0.06,Parachute Deploy,Heat Shield Separation
00:00:42,858,13.82,26.76,-0.96,0.00,-0.07,Parachute Deploy,Heat Shield Separation
00:00:43,860,11.52,26.81,-0.97,0.01,-0.06,Parachute Deploy,Heat Shield Separation
00:00:45,860,8.95,26.81,-0.97,0.01,-0.06,Parachute Deploy,Heat Shield Separation
00:01:00,816,196.98,26.86,-0.96,0.00,-0.06,Heat Shield Separation,Radar Lock
00:01:01,830,198.39,26.81,-0.96,0.00,0.10,Heat Shield Separation,Radar Lock
