Timestamp,Light Level (Ohms),Distance (cm),Temperature (°C),Acc X (m/s²),Acc Y (m/s²),Acc Z (m/s²),Completed Stage,Next Stage,Angle (degrees)
00:00:14,721,194.21,21.31,1.03,0.02,-0.02,Parachute Deployment,Heat Shield Separation,1.1123996162977923
00:00:15,726,186.32,21.40,1.10,-0.01,-0.04,Parachute Deployment,Heat Shield Separation,-0.5208563745019585
00:00:17,735,180.28,21.40,0.99,0.07,0.01,Parachute Deployment,Heat Shield Separation,4.0444855741811025
00:00:18,742,170.68,21.40,1.01,0.06,0.04,Parachute Deployment,Heat Shield Separation,3.399714159123259
00:00:19,748,161.59,21.35,1.13,0.05,-0.00,Heat Shield Separation,Radar Lock,2.533558888394575
00:00:20,752,142.24,21.40,1.01,0.02,-0.01,Heat Shield Separation,Radar Lock,1.1344216309770068
00:00:22,754,147.76,21.40,1.08,-0.01,0.01,Heat Shield Separation,Radar Lock,-0.5305013166738104
00:00:23,754,142.00,21.45,1.07,-0.00,0.07,Heat Shield Separation,Radar Lock,-0.0
00:00:24,751,136.34,21.45,1.02,-0.01,0.03,Heat Shield Separation,Radar Lock,-0.5617053325665469
00:00:25,758,130.99,21.45,1.06,-0.02,0.05,Heat Shield Separation,Radar Lock,-1.0809241866606887
00:00:27,767,123.82,21.40,1.06,-0.03,0.06,Heat Shield Separation,Radar Lock,-1.6211459136534112
00:00:28,773,118.23,21.40,1.02,-0.01,0.01,Radar Lock,Terrain Relative Navigation,-0.5617053325665469
00:00:29,780,112.68,21.45,1.06,0.00,0.01,Radar Lock,Terrain Relative Navigation,0.0
00:00:31,789,107.46,21.45,1.02,0.02,-0.07,Radar Lock,Terrain Relative Navigation,1.123302714075429
00:00:32,803,97.00,21.54,1.03,0.01,-0.01,Radar Lock,Terrain Relative Navigation,0.5562522270806725
00:00:33,812,89.11,21.45,1.05,-0.01,0.02,Radar Lock,Terrain Relative Navigation,-0.5456575934157204
00:00:34,820,79.47,21.49,1.09,-0.04,0.06,Radar Lock,Terrain Relative Navigation,-2.101654327671293
00:00:36,819,69.32,21.40,1.08,-0.02,-0.00,Radar Lock,Terrain Relative Navigation,-1.0609116902642277
00:00:37,815,63.90,21.45,1.02,0.04,0.02,Radar Lock,Terrain Relative Navigation,2.245742565895071
00:00:38,781,55.53,21.40,1.00,0.04,0.05,Terrain Relative Navigation,Backshell Separation,2.2906100426385296
00:00:40,725,46.37,21.40,1.08,-0.01,0.05,Terrain Relative Navigation,Backshell Separation,-0.5305013166738104
00:00:41,660,40.13,21.40,1.00,0.01,0.03,Terrain Relative Navigation,Backshell Separation,0.5729386976834859
00:00:42,683,33.48,21.49,1.08,0.03,0.05,Terrain Relative Navigation,Backshell Separation,1.5911402711945872
00:00:43,735,23.70,21.40,1.04,-0.01,0.06,Backshell Separation,Rover Separation,-0.5509039792185729
00:00:45,732,21.78,21.49,0.96,-0.00,0.04,Backshell Separation,Rover Separation,-0.0
00:00:46,732,19.45,21.49,1.02,0.00,0.02,Backshell Separation,Rover Separation,0.0
00:00:47,729,17.01,21.49,0.99,-0.02,0.03,Backshell Separation,Rover Separation,-1.1573330681295173
00:00:48,724,14.03,21.40,1.02,-0.03,0.00,Backshell Separation,Rover Separation,-1.6846843178962911
00:00:50,711,11.35,21.54,1.03,0.00,-0.02,Backshell Separation,Rover Separation,0.0
